station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1121428,1121428,三瀬,,,11214,6,999-7463,鶴岡市大字三瀬,139.673643,38.699448,0000-00-00,0000-00-00,0,1121428
1121429,1121429,羽前水沢,,,11214,6,999-7543,鶴岡市大字大広字山崎,139.731372,38.713444,0000-00-00,0000-00-00,0,1121429
1121430,1121430,羽前大山,,,11214,6,997-1124,鶴岡市大山１丁目,139.768194,38.742155,0000-00-00,0000-00-00,0,1121430
1121431,1121431,鶴岡,,,11214,6,997-0015,鶴岡市末広町１丁目,139.83538,38.74011,0000-00-00,0000-00-00,0,1121431
1121432,1121432,藤島,,,11214,6,999-7611,鶴岡市上藤島,139.894087,38.768646,0000-00-00,0000-00-00,0,1121432
1121433,1121433,西袋,,,11214,6,999-7746,東田川郡庄内町西袋,139.907754,38.811528,0000-00-00,0000-00-00,0,1121433
1121434,1121434,余目,,,11214,6,999-7700,東田川郡庄内町沢田,139.911348,38.844321,0000-00-00,0000-00-00,0,1121434
1121435,1121435,北余目,,,11214,6,999-7703,東田川郡庄内町平岡,139.908074,38.867538,0000-00-00,0000-00-00,0,1121435
1121436,1121436,砂越,,,11214,6,999-6701,酒田市砂越,139.907345,38.895195,0000-00-00,0000-00-00,0,1121436
1121437,1121437,東酒田,,,11214,6,998-0859,酒田市大町,139.875495,38.907518,0000-00-00,0000-00-00,0,1121437
1121438,1121438,酒田,,,11214,6,998-0023,酒田市幸町１丁目,139.845987,38.922194,0000-00-00,0000-00-00,0,1121438
1121439,1121439,本楯,,,11214,6,999-8134,酒田市大字本楯,139.882081,38.968648,0000-00-00,0000-00-00,0,1121439
1121440,1121440,南鳥海,,,11214,6,999-8421,酒田市大字米島,139.898662,38.98736,0000-00-00,0000-00-00,0,1121440
1121441,1121441,遊佐,,,11214,6,999-8301,飽海郡遊佐町大字遊佐町,139.905161,39.015943,0000-00-00,0000-00-00,0,1121441
1121442,1121442,吹浦,,,11214,6,999-8521,飽海郡遊佐町大字吹浦,139.878762,39.069934,0000-00-00,0000-00-00,0,1121442
1121443,1121443,女鹿,,,11214,6,999-8521,飽海郡遊佐町大字吹浦,139.880963,39.098807,0000-00-00,0000-00-00,0,1121443
1121444,1121444,小砂川,,,11214,5,018-0143,にかほ市象潟町小砂川,139.885692,39.137507,0000-00-00,0000-00-00,0,1121444
1121445,1121445,上浜,,,11214,5,018-0135,にかほ市象潟町洗釜,139.902823,39.164738,0000-00-00,0000-00-00,0,1121445
1121446,1121446,象潟,,,11214,5,018-0112,にかほ市象潟町家の後,139.902205,39.2078,0000-00-00,0000-00-00,0,1121446
1121447,1121447,金浦,,,11214,5,018-0311,にかほ市金浦,139.920662,39.256183,0000-00-00,0000-00-00,0,1121447
1121448,1121448,仁賀保,,,11214,5,018-0402,にかほ市平沢,139.964596,39.28979,0000-00-00,0000-00-00,0,1121448
1121449,1121449,西目,,,11214,5,018-0604,由利本荘市西目町沼田,140.018518,39.347536,0000-00-00,0000-00-00,0,1121449
1121450,1121450,羽後本荘,,,11214,5,015-0858,由利本荘市西梵天,140.057632,39.386877,0000-00-00,0000-00-00,0,1121450
1121451,1121451,羽後岩谷,,,11214,5,018-0711,由利本荘市岩谷町,140.0906,39.442075,0000-00-00,0000-00-00,0,1121451
